CompanyName                                     |BSE Code  |
Faze Three Ltd(NDA)                             |530079    |
Fem Care Pharma Ltd.                            |524608    |
Fenoplast Ltd(NDA)                              |526689    |
Fertilisers & Chemicals Travancore Ltd          |590024    |
Filatex Fashions Ltd                            |532022    |
Filatex India Limited                           |526227    |
Financial Technologies (India) Limited          |526881    |
Fine Line Circuits Ltd(NDA)                     |517264    |
First Winner Industries Ltd.                    |532996    |
Firstsource Solutions Limited                   |532809    |
Flawless Diamond India Ltd.                     |523576    |
Flex Foods Ltd(NDA)                             |523672    |
Fortis Healthcare Limited                       |532843    |
Fortis Malar Hospitals Limited                  |523696    |
Fortis Malar Hospitals Limited                  |523696    |
Fortune Financial Services India Ltd            |530023    |
Four Soft Ltd.                                  |532521    |
Fresenius Kabi Oncology Ltd                     |532545    |
Freshtrop Fruits Ltd(NDA)                       |530077    |
Future Capital Holdings Limited                 |532938    |
G.S. AUTO                                       |513059    |
GAGAN GASE L                                    |524624    |
GAIL (India) Limited                            |532155    |
GAMMA INFOWE                                    |517391    |
GANDHIM.APPL                                    |517421    |
GANDHIN HOTE                                    |530237    |
GANESH POLYT                                    |514167    |
GANGOTRI I&S                                    |530945    |
GAYATRI SUGR                                    |532183    |
GEI Industrial Systems Ltd.                     |530743    |
GEM SPINNERS                                    |521133    |
GEMSTONE INV                                    |531137    |
GI Engineering Solutions Ltd                    |533048    |
GIC Housing Finance Ltd.                        |511676    |
GINNI FILA                                      |590025    |
GIVO Ltd(NDA)                                   |531613    |
GLANCE FINAN                                    |531199    |
GMR Ferro Alloys & Industries Ltd               |532990    |
GMR Infrastructure Limited                      |532754    |
GOGIA CAP                                       |531600    |
GOLDEN CARPE                                    |531928    |
GOLDEW SECUR                                    |530579    |
GOLECHHA GLOBAL INR10                           |531360    |
GOMTI FINLEA                                    |530701    |
GOOD LUCK ST                                    |530655    |
GOPAL IRON                                      |531913    |
GOTHI PLASCO                                    |531111    |
GOWRA LEASIN                                    |530709    |
